Market,DMA Name,universe,income_past12months_below_poverty_level,income_past12months_at_or_above_poverty_level
619,"Springfield, Mo",1567985.0,229583.0,1338402.0
622,New Orleans,1760418.0,304712.0,1455706.0
623,Dallas-Ft. Worth,8014774.0,910938.0,7103836.0
624,Sioux City,3432296.0,379764.0,3052532.0
625,Waco-Temple-Bryan,14414515.0,2037188.0,12377327.0
626,Victoria,90520.0,14221.0,76299.0
627,Wichita Falls & Lawton,393107.0,63435.0,329672.0
628,Monroe-El Dorado,438877.0,106732.0,332145.0
630,Birmingham (Ann And Tusc),3890805.0,592560.0,3298245.0
631,Ottumwa-Kirksville,120376.0,19313.0,101063.0
632,Paducah-Cape Girard-Harsbg,1997012.0,356339.0,1640673.0
633,Odessa-Midland,479959.0,62707.0,417252.0
634,Amarillo,523171.0,81113.0,442058.0
635,Austin,2283405.0,231353.0,2052052.0
636,Harlingen-Wslco-Brnsvl-Mca,1353885.0,380750.0,973135.0
637,Cedar Rapids-Wtrlo-Iwc&Dub,877147.0,101323.0,775824.0
638,St. Joseph,151470.0,24131.0,127339.0
639,"Jackson, Tn",237643.0,42131.0,195512.0
640,Memphis,6972461.0,1232355.0,5740106.0
641,San Antonio,8532359.0,1154862.0,7377497.0
642,"Lafayette, La",593914.0,118118.0,475796.0
643,Lake Charles,264438.0,42408.0,222030.0
644,"Alexandria, La",229011.0,43052.0,185959.0
647,Greenwood-Greenville,165674.0,47997.0,117677.0
648,Champaign&Sprngfld-Decatur,906792.0,135247.0,771545.0
649,Evansville,1746850.0,276179.0,1470671.0
650,Oklahoma City,3251533.0,469470.0,2782063.0
651,Lubbock,450424.0,81241.0,369183.0
652,Omaha,1125474.0,108348.0,1017126.0
656,Panama City,368296.0,54419.0,313877.0
657,Sherman-Ada,341883.0,52019.0,289864.0
658,Green Bay-Appleton,4673975.0,522927.0,4151048.0
659,Nashville,4709934.0,661407.0,4048527.0
661,San Angelo,2316879.0,465911.0,1850968.0
662,Abilene-Sweetwater,291460.0,40221.0,251239.0
669,Madison,988150.0,108637.0,879513.0
670,Ft. Smith-Fay-Sprngdl-Rgrs,866943.0,125894.0,741049.0
671,Tulsa,2048901.0,314673.0,1734228.0
673,Columbus-Tupelo-West Point,476761.0,90096.0,386665.0
675,Peoria-Bloomington,1716906.0,206320.0,1510586.0
676,Duluth-Superior,1105095.0,101863.0,1003232.0
678,Wichita-Hutchinson Plus,3968661.0,464517.0,3504144.0
679,Des Moines-Ames,1142556.0,123071.0,1019485.0
682,Davenport-R.Island-Moline,734750.0,90700.0,644050.0
686,Mobile-Pensacola (Ft Walt),1434058.0,202168.0,1231890.0
687,Bismarck-Mnt-Dcknsn(Wlstn),1488277.0,170321.0,1317956.0
691,Huntsville-Decatur (Flor),3295655.0,515508.0,2780147.0
692,Beaumont-Port Arthur,442680.0,73508.0,369172.0
693,Little Rock-Pine Bluff,1423331.0,225938.0,1197393.0
698,Montgomery-Selma,602045.0,113290.0,488755.0
702,La Crosse-Eau Claire,539981.0,62879.0,477102.0
705,Wausau-Rhinelander,436168.0,43188.0,392980.0
709,Tyler-Longview(Lfkn&Ncgd),732166.0,117435.0,614731.0
710,Hattiesburg-Laurel,291623.0,64738.0,226885.0
711,Meridian,170195.0,39424.0,130771.0
716,Baton Rouge,415012.0,59298.0,355714.0
717,Quincy-Hannibal-Keokuk,6169145.0,839155.0,5329990.0
718,"Jackson, Ms",2129550.0,403872.0,1725678.0
722,Lincoln & Hastings-Krny,714866.0,79286.0,635580.0
724,Fargo,962436.0,104187.0,858249.0
725,Sioux Falls(Mitchell),1504361.0,183143.0,1321218.0
734,Jonesboro,214019.0,37417.0,176602.0
736,Bowling Green,218720.0,42830.0,175890.0
737,Mankato,303618.0,31651.0,271967.0
740,North Platte,1905034.0,197238.0,1707796.0
743,Anchorage,552207.0,62372.0,489835.0
744,Honolulu,1381147.0,127966.0,1253181.0
745,Fairbanks,101034.0,6856.0,94178.0
746,Biloxi-Gulfport,359140.0,61226.0,297914.0
747,Juneau,32931.0,2272.0,30659.0
749,Laredo,285710.0,71459.0,214251.0
751,Denver,4488814.0,420703.0,4068111.0
752,Colorado Springs-Pueblo,972395.0,114727.0,857668.0
753,Phoenix (Prescott),5562332.0,739932.0,4822400.0
754,Butte-Bozeman,184380.0,22996.0,161384.0
755,Great Falls,163744.0,26482.0,137262.0
756,Billings,283192.0,30125.0,253067.0
757,Boise,821749.0,90627.0,731122.0
758,Idaho Fals-Pocatllo(Jcksn),389522.0,48736.0,340786.0
759,Cheyenne-Scottsbluff,148885.0,14795.0,134090.0
760,Twin Falls,196311.0,27849.0,168462.0
762,Missoula,309400.0,39625.0,269775.0
764,Rapid City,261915.0,38225.0,223690.0
765,El Paso (Las Cruces),1652190.0,315376.0,1336814.0
766,Helena,314512.0,40964.0,273548.0
767,Casper-Riverton,142823.0,15532.0,127291.0
770,Salt Lake City,3279919.0,302667.0,2977252.0
771,Yuma-El Centro,375759.0,75740.0,300019.0
773,Grand Junction-Montrose,191247.0,24589.0,166658.0
789,Tucson (Sierra Vista),1174925.0,189006.0,985919.0
790,Albuquerque-Santa Fe,2102277.0,377866.0,1724411.0
798,Glendive,9481.0,1126.0,8355.0
801,Eugene,628327.0,103957.0,524370.0
802,Eureka,157507.0,30433.0,127074.0
803,Los Angeles,24524855.0,3123051.0,21401804.0
807,San Francisco-Oak-San Jose,7314956.0,610657.0,6704299.0
810,Yakima-Pasco-Rchlnd-Knnwck,720832.0,99791.0,621041.0
811,Reno,709811.0,76948.0,632863.0
813,Medford-Klamath Falls,441787.0,67897.0,373890.0
819,Seattle-Tacoma,5311328.0,485554.0,4825774.0
820,"Portland, Or",3383149.0,367282.0,3015867.0
821,"Bend, Or",190486.0,18690.0,171796.0
825,San Diego,3239995.0,353841.0,2886154.0
828,Monterey-Salinas,738196.0,86881.0,651315.0
839,Las Vegas,2251755.0,301768.0,1949987.0
855,Santabarbra-Sanmar-Sanluob,11738244.0,1648631.0,10089613.0
862,Sacramnto-Stkton-Modesto,3836261.0,502836.0,3333425.0
866,Fresno-Visalia,1999511.0,404668.0,1594843.0
868,Chico-Redding,505822.0,86700.0,419122.0
881,Spokane,1170615.0,162291.0,1008324.0
